Asset_ID,Asset_Name,Asset_Class,Sector,Expected_Return,Volatility,Transaction_Cost,Liquidity_Score
A01,Equity_1,Equity,Industrial,0.0967,0.2464,0.0055,8
A02,Equity_2,Equity,Industrial,0.0961,0.2463,0.0073,10
A03,Equity_3,Equity,Technology,0.0918,0.1784,0.007,7
A04,Equity_4,Equity,Consumer,0.1019,0.2345,0.0073,8
A05,Equity_5,Equity,Energy,0.1254,0.2552,0.004,8
A06,Equity_6,Equity,Industrial,0.1154,0.1861,0.0053,9
A07,Equity_7,Equity,Technology,0.0956,0.1626,0.0091,9
A08,Equity_8,Equity,Technology,0.1338,0.2197,0.0098,10
A09,Equity_9,Equity,Technology,0.1231,0.2578,0.0077,9
A10,Equity_10,Equity,Consumer,0.1015,0.159,0.008,9
A11,Equity_11,Equity,Technology,0.1413,0.2626,0.0063,10
A12,Equity_12,Equity,Industrial,0.14,0.1711,0.0061,9
A13,Bond_13,Bond,Government,0.0483,0.0386,0.0025,8
A14,Bond_14,Bond,Corporate,0.0414,0.0795,0.0023,10
A15,Bond_15,Bond,Government,0.0505,0.0721,0.0026,8
A16,Bond_16,Bond,Government,0.0542,0.0501,0.0011,10
A17,Bond_17,Bond,Corporate,0.0364,0.055,0.0028,10
A18,Bond_18,Bond,Corporate,0.0343,0.037,0.0025,10
A19,ETF_19,ETF,Diversified,0.0899,0.11,0.0038,9
A20,ETF_20,ETF,Diversified,0.0999,0.0897,0.0035,8
A21,ETF_21,ETF,Diversified,0.0661,0.0912,0.004,10
A22,ETF_22,ETF,Diversified,0.0754,0.1217,0.0034,9
A23,ETF_23,ETF,Diversified,0.0872,0.088,0.0047,9
A24,Commodity_24,Commodity,Oil,0.0567,0.1435,0.0048,8
A25,Commodity_25,Commodity,Silver,0.0805,0.1106,0.0055,7
A26,Commodity_26,Commodity,Silver,0.0724,0.1162,0.0068,6
A27,Commodity_27,Commodity,Oil,0.0793,0.1112,0.0045,8
A28,Cash_28,Cash,Cash,0.0112,0.0088,0.0009,10
A29,Cash_29,Cash,Cash,0.0263,0.0098,0.0005,10
A30,Cash_30,Cash,Cash,0.0232,0.0095,0.0002,10
